Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2002,Total,Total,Total,Total,Total,Total,Total,Total,Total,258.4,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Total,Total,Total,Total,258.1,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Total,Total,Total,Total,261.1,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Total,Total,Total,Total,262,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Total,Total,Total,Total,253.6,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Total,Total,Total,Total,252.6,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Total,Total,Total,Total,243.5,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Total,Total,Total,Total,226.8,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Total,Total,Total,Total,222.1,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Total,Total,Total,Total,212.6,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Total,Total,Total,Total,207.8,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Total,Total,Total,Total,212.2,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Total,Total,Total,Total,221.1,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Total,Total,Total,Total,224.4,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Total,Total,Total,Total,228.7,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Total,Total,Total,Total,233.2,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Total,Total,Total,Total,238.8,Number of claims in thousands,Provisional
2002,Male,Total,Total,Total,Total,Total,Total,Total,Total,193.6,Number of claims in thousands,Final
2003,Male,Total,Total,Total,Total,Total,Total,Total,Total,193,Number of claims in thousands,Final
2004,Male,Total,Total,Total,Total,Total,Total,Total,Total,196.1,Number of claims in thousands,Final
2005,Male,Total,Total,Total,Total,Total,Total,Total,Total,195.9,Number of claims in thousands,Final
2006,Male,Total,Total,Total,Total,Total,Total,Total,Total,186.5,Number of claims in thousands,Final
2007,Male,Total,Total,Total,Total,Total,Total,Total,Total,185,Number of claims in thousands,Final
2008,Male,Total,Total,Total,Total,Total,Total,Total,Total,177.2,Number of claims in thousands,Final
2009,Male,Total,Total,Total,Total,Total,Total,Total,Total,164.3,Number of claims in thousands,Final
2010,Male,Total,Total,Total,Total,Total,Total,Total,Total,161.7,Number of claims in thousands,Final
2011,Male,Total,Total,Total,Total,Total,Total,Total,Total,153.2,Number of claims in thousands,Final
2012,Male,Total,Total,Total,Total,Total,Total,Total,Total,149.9,Number of claims in thousands,Final
2013,Male,Total,Total,Total,Total,Total,Total,Total,Total,152.6,Number of claims in thousands,Final
2014,Male,Total,Total,Total,Total,Total,Total,Total,Total,158.9,Number of claims in thousands,Final
2015,Male,Total,Total,Total,Total,Total,Total,Total,Total,159.6,Number of claims in thousands,Final
2016,Male,Total,Total,Total,Total,Total,Total,Total,Total,161.4,Number of claims in thousands,Final
2017,Male,Total,Total,Total,Total,Total,Total,Total,Total,164.2,Number of claims in thousands,Final
2018,Male,Total,Total,Total,Total,Total,Total,Total,Total,166.4,Number of claims in thousands,Provisional
2002,Female,Total,Total,Total,Total,Total,Total,Total,Total,64.8,Number of claims in thousands,Final
2003,Female,Total,Total,Total,Total,Total,Total,Total,Total,65,Number of claims in thousands,Final
2004,Female,Total,Total,Total,Total,Total,Total,Total,Total,65,Number of claims in thousands,Final
2005,Female,Total,Total,Total,Total,Total,Total,Total,Total,66,Number of claims in thousands,Final
2006,Female,Total,Total,Total,Total,Total,Total,Total,Total,67,Number of claims in thousands,Final
2007,Female,Total,Total,Total,Total,Total,Total,Total,Total,67.6,Number of claims in thousands,Final
2008,Female,Total,Total,Total,Total,Total,Total,Total,Total,66.3,Number of claims in thousands,Final
2009,Female,Total,Total,Total,Total,Total,Total,Total,Total,62.5,Number of claims in thousands,Final
2010,Female,Total,Total,Total,Total,Total,Total,Total,Total,60.3,Number of claims in thousands,Final
2011,Female,Total,Total,Total,Total,Total,Total,Total,Total,59.2,Number of claims in thousands,Final
2012,Female,Total,Total,Total,Total,Total,Total,Total,Total,57.9,Number of claims in thousands,Final
2013,Female,Total,Total,Total,Total,Total,Total,Total,Total,59.5,Number of claims in thousands,Final
2014,Female,Total,Total,Total,Total,Total,Total,Total,Total,62.2,Number of claims in thousands,Final
2015,Female,Total,Total,Total,Total,Total,Total,Total,Total,64.8,Number of claims in thousands,Final
2016,Female,Total,Total,Total,Total,Total,Total,Total,Total,67.3,Number of claims in thousands,Final
2017,Female,Total,Total,Total,Total,Total,Total,Total,Total,69.1,Number of claims in thousands,Final
